FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-37-24,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,245
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-34-54,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,245
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-33-54,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,245
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-30-24,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,245
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-10-23,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,240
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-06-23,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,243
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-00-23,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,230
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_11-59-53,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,66.0,230
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_11-58-53,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,65.0,230
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_11-57-25_b30f2c17654cee366fad2bdb3e4adefa457b1858.c,2022-02-04_12-57-55,2022-02-04_11-57-25,http://moss.stanford.edu/results/7/2577632910019,65.0,65.0,241
