FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-57-55,2022-02-04_12-58-13,http://moss.stanford.edu/results/2/3494543522569,64.0,58.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-57-43_2e97e1be1ef7cec16e9880b709320c386cb46861.c,2022-02-04_12-57-55,2022-02-04_12-57-43,http://moss.stanford.edu/results/9/7586352807443,64.0,58.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-57-13_fadfbd7585553e35ae01e392b81909af7556c0e3.c,2022-02-04_12-57-55,2022-02-04_12-57-13,http://moss.stanford.edu/results/8/6441189870621,64.0,58.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-57-55,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/4832074261243,64.0,58.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-53-27_56e87a70bbc7cb3e4c1ae7eb40de51427afb42f4.c,2022-02-04_12-57-55,2022-02-04_12-53-27,http://moss.stanford.edu/results/2/8704262467540,32.0,65.0,104
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-57-55,2022-02-04_12-52-57,http://moss.stanford.edu/results/3/5969788188553,64.0,56.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-52-27_77a5b95c18ca464455ef91793486745f09199429.c,2022-02-04_12-57-55,2022-02-04_12-52-27,http://moss.stanford.edu/results/3/8025594964596,64.0,57.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-51-57_24b6da72f02a0459da18ab8f4c79d1a6416214c5.c,2022-02-04_12-57-55,2022-02-04_12-51-57,http://moss.stanford.edu/results/9/320827086429,64.0,58.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-57-55,2022-02-04_12-51-27,http://moss.stanford.edu/results/4/7825778153232,64.0,58.0,242
./ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,./ab0383/source_file/2022-02-04_12-50-57_79408d72f01326417137206e830bcaae728347ec.c,2022-02-04_12-57-55,2022-02-04_12-50-57,http://moss.stanford.edu/results/4/2137208516682,64.0,58.0,242
