FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,2022-02-04_12-58-13,2022-02-04_12-57-55,http://moss.stanford.edu/results/8/8275042605559,58.0,64.0,242
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,2022-02-04_12-58-13,2022-02-04_12-55-55,http://moss.stanford.edu/results/7/1009516884546,58.0,63.0,242
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,2022-02-04_12-58-13,2022-02-04_12-41-54,http://moss.stanford.edu/results/7/3743991163532,57.0,63.0,232
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,2022-02-04_12-58-13,2022-02-04_11-59-53,http://moss.stanford.edu/results/0/1029321151758,57.0,63.0,220
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,2022-02-04_12-58-13,2022-02-04_11-34-52,http://moss.stanford.edu/results/5/1947414000491,44.0,57.0,170
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,2022-02-04_12-50-27,2022-02-04_12-57-55,http://moss.stanford.edu/results/4/3664774094681,58.0,64.0,242
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,2022-02-04_12-50-27,2022-02-04_12-55-55,http://moss.stanford.edu/results/1/4123820519048,58.0,63.0,242
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,2022-02-04_12-50-27,2022-02-04_12-41-54,http://moss.stanford.edu/results/7/3684578361894,57.0,63.0,232
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,2022-02-04_12-50-27,2022-02-04_11-59-53,http://moss.stanford.edu/results/2/1868196931640,57.0,63.0,220
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,2022-02-04_12-50-27,2022-02-04_11-34-52,http://moss.stanford.edu/results/2/291240847177,44.0,57.0,170
../analyzer_output_rep_esami/copiato/2022-02-04_12-41-27_91263bd8cfa1cd9077f003185d0292d049fb7f02.c,../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,2022-02-04_12-41-27,2022-02-04_12-57-55,http://moss.stanford.edu/results/0/6438856908093,58.0,64.0,242
../analyzer_output_rep_esami/copiato/2022-02-04_12-41-27_91263bd8cfa1cd9077f003185d0292d049fb7f02.c,../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,2022-02-04_12-41-27,2022-02-04_12-55-55,http://moss.stanford.edu/results/0/2890698444481,58.0,63.0,242
../analyzer_output_rep_esami/copiato/2022-02-04_12-41-27_91263bd8cfa1cd9077f003185d0292d049fb7f02.c,../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,2022-02-04_12-41-27,2022-02-04_12-41-54,http://moss.stanford.edu/results/8/8268923461820,57.0,63.0,232
../analyzer_output_rep_esami/copiato/2022-02-04_12-41-27_91263bd8cfa1cd9077f003185d0292d049fb7f02.c,../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,2022-02-04_12-41-27,2022-02-04_11-59-53,http://moss.stanford.edu/results/4/3045519393376,57.0,63.0,220
../analyzer_output_rep_esami/copiato/2022-02-04_12-41-27_91263bd8cfa1cd9077f003185d0292d049fb7f02.c,../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,2022-02-04_12-41-27,2022-02-04_11-34-52,http://moss.stanford.edu/results/7/4571503475691,44.0,57.0,170
../analyzer_output_rep_esami/copiato/2022-02-04_12-14-56_8c3c4e7295a2ef6aae1fb52278bc0d41ba98db7b.c,../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,2022-02-04_12-14-56,2022-02-04_12-57-55,http://moss.stanford.edu/results/7/5796487222859,58.0,61.0,224
