FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_12-58-13,2022-02-04_12-14-05,http://moss.stanford.edu/results/0/8353396811030,15.0,19.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_12-58-13,2022-02-04_12-01-40,http://moss.stanford.edu/results/9/5399301453466,15.0,19.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_12-58-13,2022-02-04_11-54-39,http://moss.stanford.edu/results/9/2833866309757,15.0,19.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_12-58-13,2022-02-04_11-43-39,http://moss.stanford.edu/results/1/8064955058890,15.0,18.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_12-58-13,2022-02-04_11-29-08,http://moss.stanford.edu/results/0/5449410684324,10.0,13.0,20
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_12-50-27,2022-02-04_12-14-05,http://moss.stanford.edu/results/8/1909511313225,15.0,19.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_12-50-27,2022-02-04_12-01-40,http://moss.stanford.edu/results/6/7602777560624,15.0,19.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_12-50-27,2022-02-04_11-54-39,http://moss.stanford.edu/results/3/7119831368710,15.0,19.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_12-50-27,2022-02-04_11-43-39,http://moss.stanford.edu/results/7/2564031699180,15.0,18.0,27
../analyzer_output_rep_esami/copiato/2022-02-04_12-50-27_b5a7c38cf9533f0e0af3972bbaa25c2422b06d7d.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_12-50-27,2022-02-04_11-29-08,http://moss.stanford.edu/results/3/7274631004283,10.0,13.0,20
