FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_12-57-55,2022-02-04_12-14-05,http://moss.stanford.edu/results/9/6941200982282,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_12-57-55,2022-02-04_12-01-40,http://moss.stanford.edu/results/9/6831262792812,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_12-57-55,2022-02-04_11-54-39,http://moss.stanford.edu/results/7/761834934673,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_12-57-55,2022-02-04_11-43-39,http://moss.stanford.edu/results/9/9573654268372,17.0,18.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_12-57-55,2022-02-04_11-29-08,http://moss.stanford.edu/results/9/1600999823250,11.0,13.0,20
../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_12-55-55,2022-02-04_12-14-05,http://moss.stanford.edu/results/4/8864697893533,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_12-55-55,2022-02-04_12-01-40,http://moss.stanford.edu/results/1/9498696589262,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_12-55-55,2022-02-04_11-54-39,http://moss.stanford.edu/results/7/1479351492452,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_12-55-55,2022-02-04_11-43-39,http://moss.stanford.edu/results/9/4386484122282,17.0,18.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-55-55_bbb1167ad0abd3d833a22135ed6369e7b3b629aa.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_12-55-55,2022-02-04_11-29-08,http://moss.stanford.edu/results/9/6792238129426,11.0,13.0,20
../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_12-41-54,2022-02-04_12-14-05,http://moss.stanford.edu/results/0/5572362149568,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_12-41-54,2022-02-04_12-01-40,http://moss.stanford.edu/results/8/9667575004018,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_12-41-54,2022-02-04_11-54-39,http://moss.stanford.edu/results/8/9641916621859,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_12-41-54,2022-02-04_11-43-39,http://moss.stanford.edu/results/0/3519958943101,17.0,18.0,27
../analyzer_output_rep_esami/copione/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_12-41-54,2022-02-04_11-29-08,http://moss.stanford.edu/results/7/7363428768206,11.0,13.0,20
../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_11-59-53,2022-02-04_12-14-05,http://moss.stanford.edu/results/3/6249153518966,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_11-59-53,2022-02-04_12-01-40,http://moss.stanford.edu/results/8/432556132759,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_11-59-53,2022-02-04_11-54-39,http://moss.stanford.edu/results/3/1350648981492,17.0,19.0,27
../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_11-59-53,2022-02-04_11-43-39,http://moss.stanford.edu/results/5/9993313975605,17.0,18.0,27
../analyzer_output_rep_esami/copione/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_11-59-53,2022-02-04_11-29-08,http://moss.stanford.edu/results/3/9773692897028,11.0,13.0,20
../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,2022-02-04_11-34-52,2022-02-04_12-14-05,http://moss.stanford.edu/results/3/3924370855476,13.0,12.0,20
../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,../analyzer_output_rep_esami/indipendente/2022-02-04_12-01-40_687f37f60095f5bd499418b3eae0264de2b3a5d0.c,2022-02-04_11-34-52,2022-02-04_12-01-40,http://moss.stanford.edu/results/9/8176932545352,13.0,12.0,20
../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-54-39_110cab219a1f725131e5dc127991e0615c4ec32a.c,2022-02-04_11-34-52,2022-02-04_11-54-39,http://moss.stanford.edu/results/7/2268741830225,13.0,12.0,20
../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-43-39_1af856c0496c7042fc9733e92b94df39ab2edba4.c,2022-02-04_11-34-52,2022-02-04_11-43-39,http://moss.stanford.edu/results/7/3845697914689,13.0,12.0,20
../analyzer_output_rep_esami/copione/2022-02-04_11-34-52_d91710522adbcc45cb3619399d91d8339c6f2b50.c,../analyzer_output_rep_esami/indipendente/2022-02-04_11-29-08_756f3a241d7263c98b263f0f4b7059c2f06c8999.c,2022-02-04_11-34-52,2022-02-04_11-29-08,http://moss.stanford.edu/results/3/4983411841999,13.0,13.0,20
