FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
ab0343/source_file/2022-02-04_12-48-54_ba4d86ea79a1f3cfe4a6687fb3ad16d0bee6ba8b.c,ab0383/source_file/2022-02-04_12-48-27_0ebb7e1f3800bb97b6370595a7eda8d089f0796e.c,2022-02-04_12-48-54,2022-02-04_12-48-27,http://moss.stanford.edu/results/2/2551592663835,64.0,64.0,248
ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383/source_file/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-57-55,2022-02-04_12-58-13,http://moss.stanford.edu/results/2/2551592663835,64.0,58.0,242
ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383/source_file/2022-02-04_12-57-13_fadfbd7585553e35ae01e392b81909af7556c0e3.c,2022-02-04_12-57-55,2022-02-04_12-57-13,http://moss.stanford.edu/results/2/2551592663835,64.0,58.0,242
ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383/source_file/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-57-55,2022-02-04_12-52-57,http://moss.stanford.edu/results/2/2551592663835,64.0,56.0,242
ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383/source_file/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-57-55,2022-02-04_12-51-27,http://moss.stanford.edu/results/2/2551592663835,64.0,58.0,242
ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383/source_file/2022-02-04_12-41-27_91263bd8cfa1cd9077f003185d0292d049fb7f02.c,2022-02-04_12-57-55,2022-02-04_12-41-27,http://moss.stanford.edu/results/2/2551592663835,64.0,58.0,242
ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383/source_file/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-57-55,2022-02-04_12-39-57,http://moss.stanford.edu/results/2/2551592663835,64.0,58.0,242
ab0343/source_file/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383/source_file/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-56-55,2022-02-04_12-58-13,http://moss.stanford.edu/results/2/2551592663835,63.0,58.0,244
ab0343/source_file/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383/source_file/2022-02-04_12-57-13_fadfbd7585553e35ae01e392b81909af7556c0e3.c,2022-02-04_12-56-55,2022-02-04_12-57-13,http://moss.stanford.edu/results/2/2551592663835,63.0,58.0,244
ab0343/source_file/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383/source_file/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-56-55,2022-02-04_12-52-57,http://moss.stanford.edu/results/2/2551592663835,63.0,56.0,244
ab0343/source_file/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383/source_file/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-56-55,2022-02-04_12-51-27,http://moss.stanford.edu/results/2/2551592663835,63.0,58.0,244
