FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],SIMILARITY [%],LINES_MATCHES
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,2022-02-04_12-14-05,2022-02-04_12-57-55,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-55-25_ca4ee3301fef1d7985f4901ede809ce7dba5cdf8.c,2022-02-04_12-14-05,2022-02-04_12-55-25,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-50-55_4b0d673eb978298f26cc61edcff20184cf49af4a.c,2022-02-04_12-14-05,2022-02-04_12-50-55,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,2022-02-04_12-14-05,2022-02-04_12-47-54,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,2022-02-04_12-14-05,2022-02-04_12-41-54,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-34-24_7d444c78a5a9e6e50de0bbe484d42b62a46377ce.c,2022-02-04_12-14-05,2022-02-04_12-34-24,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-29-54_6a115fbfb8cbb349daffbfeab3ec34ec2b27c221.c,2022-02-04_12-14-05,2022-02-04_12-29-54,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-16-23_6c0b8164cd978e3a531e2f3d8efafc9dfc8ffce7.c,2022-02-04_12-14-05,2022-02-04_12-16-23,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-07-23_f5479cfb5c2058fe022b4c6565cd2f4c25e6c53e.c,2022-02-04_12-14-05,2022-02-04_12-07-23,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-04-23_34bfc43dadef82c7b678ab352bfafd593cd914e4.c,2022-02-04_12-14-05,2022-02-04_12-04-23,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_12-01-53_a56e80596918273ebd5446fbf04499391a7e9569.c,2022-02-04_12-14-05,2022-02-04_12-01-53,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_11-59-23_1be7a9740f4ee0f6fd944c88e61f0281dfe19573.c,2022-02-04_12-14-05,2022-02-04_11-59-23,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-14-05_6596f461960872f48ff1c1b51e5ea00a3446c258.c,ab0343/source_file/2022-02-04_11-56-53_dfa13110add37387c13436f5287758c96cc58d77.c,2022-02-04_12-14-05,2022-02-04_11-56-53,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-11-40_3b158bfff992438c522317b66ad51c4e4589bf5d.c,ab0343/source_file/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,2022-02-04_12-11-40,2022-02-04_12-57-55,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-11-40_3b158bfff992438c522317b66ad51c4e4589bf5d.c,ab0343/source_file/2022-02-04_12-55-25_ca4ee3301fef1d7985f4901ede809ce7dba5cdf8.c,2022-02-04_12-11-40,2022-02-04_12-55-25,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-11-40_3b158bfff992438c522317b66ad51c4e4589bf5d.c,ab0343/source_file/2022-02-04_12-50-55_4b0d673eb978298f26cc61edcff20184cf49af4a.c,2022-02-04_12-11-40,2022-02-04_12-50-55,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-11-40_3b158bfff992438c522317b66ad51c4e4589bf5d.c,ab0343/source_file/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,2022-02-04_12-11-40,2022-02-04_12-47-54,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
aa0612/source_file/2022-02-04_12-11-40_3b158bfff992438c522317b66ad51c4e4589bf5d.c,ab0343/source_file/2022-02-04_12-41-54_66d8396e2a5cfb08369225017e853f6a2a978578.c,2022-02-04_12-11-40,2022-02-04_12-41-54,http://moss.stanford.edu/results/6/8822285254459,19.0,17.0,18.0,27
